Property ID,Listing Type,State,City,City Tier,Latitude,Longitude,Property Type,BHK,Size (SqFt),Price (INR),Price Per SqFt,Days on Market (DOM),DOM Status,Year Listed,Month Listed,Year Built,Property Age Classification,RERA Status,Furnishing Status,Parking (PKT),Gym,Swimming Pool (SWM),Elevator (ELV),Total Amenities
PROP-00001,Sale,Maharashtra,Mumbai,Tier 1,19.05217056837359,72.89497029942089,Apartment,2,1109,22514495.12,20301.62,223,Stale,2024,February,2024,New (2023-2026),RERA Approved,Semi-Furnished,Yes,No,No,Yes,2
PROP-00002,Rental,Maharashtra,Pune,Tier 1,18.4950978799072,73.88636813971914,Independent House/Villa,2,1470,38688.24,26.32,61,Moderate,2022,April,2002,Vintage (2001-2015),Awaiting Approval,Unfurnished,Yes,No,No,Yes,2
PROP-00003,Rental,Rajasthan,Jaipur,Tier 2,26.953025458052107,75.76234678987925,Independent House/Villa,3,2517,46325.95,18.41,287,Stale,2026,January,2021,Modern (2016-2022),RERA Approved,Fully Furnished,Yes,No,No,Yes,2
PROP-00004,Sale,Telangana,Hyderabad,Tier 1,17.35995461998495,78.4991874099607,Apartment,2,1095,7897208.3,7212.06,117,Moderate,2026,February,2025,New (2023-2026),RERA Approved,Semi-Furnished,Yes,No,Yes,Yes,3
PROP-00005,Sale,Gujarat,Ahmedabad,Tier 2,22.999694972612865,72.57857459831438,Apartment,3,1369,8159622.38,5960.28,137,Moderate,2022,December,2020,Modern (2016-2022),Awaiting Approval,Unfurnished,Yes,Yes,No,Yes,3
PROP-00006,Sale,Telangana,Hyderabad,Tier 1,17.410939826241798,78.51998303767883,Apartment,1,617,4759464.87,7713.88,75,Moderate,2023,November,2021,Modern (2016-2022),Awaiting Approval,Semi-Furnished,Yes,No,Yes,No,2
PROP-00007,Sale,Telangana,Hyderabad,Tier 1,17.379973984245055,78.52730870604813,Apartment,3,1586,13546503.29,8541.3,87,Moderate,2026,May,2021,Modern (2016-2022),RERA Approved,Semi-Furnished,No,No,No,Yes,1
PROP-00008,Rental,Gujarat,Ahmedabad,Tier 2,23.050171055695518,72.52261567714774,Apartment,3,1318,21551.26,16.35,61,Moderate,2024,June,2024,New (2023-2026),Awaiting Approval,Unfurnished,Yes,Yes,No,No,2
PROP-00009,Rental,Delhi,Delhi NCR,Tier 1,28.57043661575644,77.22640199190589,Independent House/Villa,1,1210,34447.28,28.47,353,Stale,2026,February,2025,New (2023-2026),RERA Approved,Semi-Furnished,Yes,No,No,No,1
PROP-00010,Rental,Karnataka,Bengaluru,Tier 1,12.970357119367339,77.54978357991197,Apartment,2,951,29791.29,31.33,275,Stale,2023,August,2013,Vintage (2001-2015),RERA Approved,Fully Furnished,Yes,No,No,No,1
PROP-00011,Sale,Delhi,Delhi NCR,Tier 1,28.56726136001833,77.21388586650774,Apartment,1,585,4766151.4,8147.27,115,Moderate,2022,August,2021,Modern (2016-2022),Awaiting Approval,Fully Furnished,Yes,No,No,No,1
PROP-00012,Rental,Maharashtra,Chhatrapati Sambhajinagar,Tier 2,19.832465320345538,75.32206327290437,Apartment,3,1765,21585.19,12.23,361,Stale,2024,October,2023,New (2023-2026),RERA Approved,Fully Furnished,Yes,No,No,No,1
PROP-00013,Rental,Maharashtra,Chhatrapati Sambhajinagar,Tier 2,19.916843745334443,75.32397765995222,Independent House/Villa,2,1986,24620.01,12.4,80,Moderate,2024,December,2019,Modern (2016-2022),RERA Approved,Fully Furnished,Yes,Yes,No,No,2
PROP-00014,Sale,Maharashtra,Mumbai,Tier 1,19.03992453711176,72.86299585034524,Apartment,2,1050,24934380.22,23747.03,162,Moderate,2025,January,2020,Modern (2016-2022),RERA Approved,Unfurnished,Yes,No,No,Yes,2
PROP-00015,Sale,Telangana,Hyderabad,Tier 1,17.388242068227523,78.49882924490495,Apartment,1,515,3019244.68,5862.61,24,Fast,2023,May,2013,Vintage (2001-2015),RERA Approved,Semi-Furnished,Yes,Yes,No,Yes,3
PROP-00016,Sale,Rajasthan,Jaipur,Tier 2,26.903509560260073,75.77070499656688,Apartment,2,1151,5893404.16,5120.25,135,Moderate,2025,September,2023,New (2023-2026),RERA Approved,Fully Furnished,Yes,No,No,No,1
PROP-00017,Sale,Maharashtra,Mumbai,Tier 1,19.060734332625884,72.90096990505903,Builder Floor,1,632,11667611.22,18461.41,333,Stale,2024,April,2014,Vintage (2001-2015),Awaiting Approval,Semi-Furnished,No,No,No,No,0
PROP-00018,Sale,Maharashtra,Pune,Tier 1,18.560383334568726,73.84715273855738,Builder Floor,2,1282,7485151.88,5838.65,126,Moderate,2023,September,2018,Modern (2016-2022),Awaiting Approval,Semi-Furnished,Yes,No,No,No,1
PROP-00019,Sale,Rajasthan,Jaipur,Tier 2,26.86458233967755,75.74413532003099,Apartment,2,1068,4275514.1,4003.29,45,Fast,2022,June,2021,Modern (2016-2022),RERA Approved,Semi-Furnished,No,No,No,No,0
PROP-00020,Sale,Maharashtra,Mumbai,Tier 1,19.09237896861756,72.90607598424842,Apartment,3,1328,22210077.4,16724.46,171,Moderate,2025,July,2024,New (2023-2026),Awaiting Approval,Semi-Furnished,No,Yes,No,No,1
PROP-00021,Rental,Telangana,Hyderabad,Tier 1,17.431339443421358,78.46527583245927,Apartment,3,1525,34884.39,22.88,134,Moderate,2024,November,2022,Modern (2016-2022),RERA Approved,Fully Furnished,Yes,No,No,No,1
PROP-00022,Sale,Delhi,Delhi NCR,Tier 1,28.619916818346184,77.20227668795992,Apartment,2,1191,13926494.72,11693.11,27,Fast,2024,December,2022,Modern (2016-2022),RERA Approved,Semi-Furnished,Yes,No,Yes,No,2
PROP-00023,Sale,Rajasthan,Jaipur,Tier 2,26.956082246203312,75.80584438832219,Independent House/Villa,4,3100,16773701.53,5410.87,283,Stale,2025,May,2015,Vintage (2001-2015),Awaiting Approval,Semi-Furnished,Yes,No,No,Yes,2
PROP-00024,Sale,Maharashtra,Chhatrapati Sambhajinagar,Tier 2,19.831425787928602,75.32654561571486,Independent House/Villa,3,1868,7722515.99,4134.11,255,Stale,2025,October,2020,Modern (2016-2022),RERA Approved,Fully Furnished,No,No,No,No,0
PROP-00025,Sale,Maharashtra,Chhatrapati Sambhajinagar,Tier 2,19.868079331907417,75.29895856561467,Independent House/Villa,4,2304,13623234.9,5912.86,13,Fast,2025,August,2023,New (2023-2026),RERA Approved,Semi-Furnished,Yes,No,No,No,1
PROP-00026,Rental,Karnataka,Bengaluru,Tier 1,12.947615779096205,77.58199210470129,Independent House/Villa,2,1528,48963.26,32.04,17,Fast,2025,February,2024,New (2023-2026),RERA Approved,Unfurnished,Yes,Yes,No,No,2
PROP-00027,Sale,Rajasthan,Jaipur,Tier 2,26.935482096498074,75.83174485826943,Apartment,2,1199,5786703.12,4826.27,311,Stale,2022,January,2021,Modern (2016-2022),RERA Approved,Semi-Furnished,Yes,No,No,No,1
